,Team,Season,Record,Season Result,PJ Positive
0,Braves,1970-71,22-60,N/A,False
1,Trail Blazers,1970-71,29-53,N/A,False
2,Bucks,1970-71,66-16,LEAGUE CHAMPION,True
3,Hawks,1970-71,36-46,N/A,False
4,Pistons,1970-71,45-37,N/A,False
5,Lakers,1970-71,48-34,N/A,False
6,Knicks,1970-71,52-30,N/A,False
7,Bullets,1970-71,42-40,FINALS APPEARANCE,False
8,Warriors,1970-71,41-41,N/A,False
9,76ers,1970-71,47-35,N/A,False
10,Bulls,1970-71,51-31,N/A,False
11,Royals,1970-71,33-49,N/A,False
12,SuperSonics,1970-71,38-44,N/A,False
13,Celtics,1970-71,44-38,N/A,False
14,Rockets,1970-71,40-42,N/A,False
15,Cavaliers,1970-71,15-67,N/A,False
16,Suns,1970-71,48-34,N/A,False
17,Royals,1971-72,30-52,N/A,False
18,Cavaliers,1971-72,23-59,N/A,False
19,Trail Blazers,1971-72,18-64,N/A,False
20,Braves,1971-72,22-60,N/A,False
21,Knicks,1971-72,48-34,FINALS APPEARANCE,False
22,Bucks,1971-72,63-19,N/A,True
23,Bulls,1971-72,57-25,N/A,True
24,SuperSonics,1971-72,47-35,N/A,False
25,Celtics,1971-72,56-26,N/A,True
26,Suns,1971-72,49-33,N/A,False
27,Hawks,1971-72,36-46,N/A,False
28,Pistons,1971-72,26-56,N/A,False
29,Bullets,1971-72,38-44,N/A,False
30,Rockets,1971-72,34-48,N/A,False
31,76ers,1971-72,30-52,N/A,False
32,Warriors,1971-72,51-31,N/A,False
33,Lakers,1971-72,69-13,LEAGUE CHAMPION,True
34,Braves,1972-73,21-61,N/A,False
35,Knicks,1972-73,57-25,LEAGUE CHAMPION,True
36,Trail Blazers,1972-73,21-61,N/A,False
37,Lakers,1972-73,60-22,FINALS APPEARANCE,True
38,Bullets,1972-73,52-30,N/A,True
39,Suns,1972-73,38-44,N/A,False
40,Hawks,1972-73,46-36,N/A,False
41,Pistons,1972-73,40-42,N/A,False
42,Celtics,1972-73,68-14,N/A,True
43,Bulls,1972-73,51-31,N/A,False
44,Kings,1972-73,36-46,N/A,False
45,Rockets,1972-73,33-49,N/A,False
46,Bucks,1972-73,60-22,N/A,True
47,76ers,1972-73,9-73,N/A,False
48,Warriors,1972-73,47-35,N/A,False
49,Cavaliers,1972-73,32-50,N/A,False
50,SuperSonics,1972-73,26-56,N/A,False
51,Hawks,1973-74,35-47,N/A,False
52,Warriors,1973-74,44-38,N/A,False
53,Trail Blazers,1973-74,27-55,N/A,False
54,Bulls,1973-74,54-28,N/A,True
55,Knicks,1973-74,49-33,N/A,False
56,Bucks,1973-74,59-23,FINALS APPEARANCE,True
57,Cavaliers,1973-74,29-53,N/A,False
58,Bullets,1973-74,47-35,N/A,False
59,Lakers,1973-74,47-35,N/A,False
60,Pistons,1973-74,52-30,N/A,True
61,Celtics,1973-74,56-26,LEAGUE CHAMPION,True
62,76ers,1973-74,25-57,N/A,False
63,Kings,1973-74,33-49,N/A,False
64,Suns,1973-74,30-52,N/A,False
65,Braves,1973-74,42-40,N/A,False
66,Rockets,1973-74,32-50,N/A,False
67,SuperSonics,1973-74,36-46,N/A,False
68,Lakers,1974-75,30-52,N/A,False
69,Bulls,1974-75,47-35,N/A,False
70,Warriors,1974-75,48-34,LEAGUE CHAMPION,False
71,Celtics,1974-75,60-22,N/A,True
72,Jazz,1974-75,23-59,N/A,False
73,Bucks,1974-75,38-44,N/A,False
74,Braves,1974-75,49-33,N/A,False
75,76ers,1974-75,34-48,N/A,False
76,Kings,1974-75,44-38,N/A,False
77,Suns,1974-75,32-50,N/A,False
78,Cavaliers,1974-75,40-42,N/A,False
79,Knicks,1974-75,40-42,N/A,False
80,Bullets,1974-75,60-22,FINALS APPEARANCE,True
81,SuperSonics,1974-75,43-39,N/A,False
82,Rockets,1974-75,41-41,N/A,False
83,Trail Blazers,1974-75,38-44,N/A,False
84,Pistons,1974-75,40-42,N/A,False
85,Hawks,1974-75,31-51,N/A,False
86,SuperSonics,1975-76,43-39,N/A,False
87,Lakers,1975-76,40-42,N/A,False
88,76ers,1975-76,46-36,N/A,False
89,Trail Blazers,1975-76,37-45,N/A,False
90,Suns,1975-76,42-40,FINALS APPEARANCE,False
91,Bucks,1975-76,38-44,N/A,False
92,Knicks,1975-76,38-44,N/A,False
93,Bullets,1975-76,48-34,N/A,False
94,Braves,1975-76,46-36,N/A,False
95,Kings,1975-76,31-51,N/A,False
96,Pistons,1975-76,36-46,N/A,False
97,Warriors,1975-76,59-23,N/A,True
98,Hawks,1975-76,29-53,N/A,False
99,Jazz,1975-76,38-44,N/A,False
100,Rockets,1975-76,40-42,N/A,False
101,Cavaliers,1975-76,49-33,N/A,True
102,Bulls,1975-76,24-58,N/A,False
103,Celtics,1975-76,54-28,LEAGUE CHAMPION,True
104,Lakers,1976-77,53-29,N/A,True
105,Celtics,1976-77,44-38,N/A,False
106,SuperSonics,1976-77,40-42,N/A,False
107,Spurs,1976-77,44-38,N/A,False
108,Bullets,1976-77,48-34,N/A,False
109,Rockets,1976-77,49-33,N/A,False
110,Braves,1976-77,30-52,N/A,False
111,Nuggets,1976-77,50-32,N/A,False
112,76ers,1976-77,50-32,FINALS APPEARANCE,False
113,Bucks,1976-77,30-52,N/A,False
114,Kings,1976-77,40-42,N/A,False
115,Suns,1976-77,34-48,N/A,False
116,Pistons,1976-77,44-38,N/A,False
117,Cavaliers,1976-77,43-39,N/A,False
118,Knicks,1976-77,40-42,N/A,False
119,Pacers,1976-77,36-46,N/A,False
120,Bulls,1976-77,44-38,N/A,False
121,Hawks,1976-77,31-51,N/A,False
122,Jazz,1976-77,35-47,N/A,False
123,Warriors,1976-77,46-36,N/A,False
124,Nets,1976-77,22-60,N/A,False
125,Trail Blazers,1976-77,49-33,LEAGUE CHAMPION,False
126,Rockets,1977-78,28-54,N/A,False
127,Warriors,1977-78,43-39,N/A,False
128,Pacers,1977-78,31-51,N/A,False
129,Pistons,1977-78,38-44,N/A,False
130,Knicks,1977-78,43-39,N/A,False
131,Braves,1977-78,27-55,N/A,False
132,Hawks,1977-78,41-41,N/A,False
133,Nets,1977-78,24-58,N/A,False
134,Celtics,1977-78,32-50,N/A,False
135,Cavaliers,1977-78,43-39,N/A,False
136,Spurs,1977-78,52-30,N/A,True
137,Lakers,1977-78,45-37,N/A,False
138,76ers,1977-78,55-27,N/A,True
139,Jazz,1977-78,39-43,N/A,False
140,Trail Blazers,1977-78,58-24,N/A,True
141,Suns,1977-78,49-33,N/A,False
142,Bullets,1977-78,44-38,LEAGUE CHAMPION,False
143,Bucks,1977-78,44-38,N/A,False
144,SuperSonics,1977-78,47-35,FINALS APPEARANCE,True
145,Kings,1977-78,31-51,N/A,False
146,Bulls,1977-78,40-42,N/A,False
147,Nuggets,1977-78,48-34,N/A,False
148,Bulls,1978-79,31-51,N/A,False
149,Cavaliers,1978-79,30-52,N/A,False
150,Rockets,1978-79,47-35,N/A,False
151,Clippers,1978-79,43-39,N/A,False
152,Lakers,1978-79,47-35,N/A,False
153,Trail Blazers,1978-79,45-37,N/A,False
154,Bullets,1978-79,54-28,FINALS APPEARANCE,True
155,Spurs,1978-79,48-34,N/A,False
156,Pacers,1978-79,38-44,N/A,False
157,Suns,1978-79,50-32,N/A,False
158,Nuggets,1978-79,47-35,N/A,False
159,Celtics,1978-79,29-53,N/A,False
160,Knicks,1978-79,31-51,N/A,False
161,76ers,1978-79,47-35,N/A,False
162,Pistons,1978-79,30-52,N/A,False
163,Jazz,1978-79,26-56,N/A,False
164,Warriors,1978-79,38-44,N/A,False
165,Bucks,1978-79,38-44,N/A,False
166,Kings,1978-79,48-34,N/A,False
167,Nets,1978-79,37-45,N/A,False
168,SuperSonics,1978-79,52-30,LEAGUE CHAMPION,False
169,Hawks,1978-79,46-36,N/A,False
170,Nets,1979-80,34-48,N/A,False
171,Jazz,1979-80,24-58,N/A,False
172,Hawks,1979-80,50-32,N/A,False
173,Spurs,1979-80,41-41,N/A,False
174,Pistons,1979-80,16-66,N/A,False
175,Kings,1979-80,47-35,N/A,False
176,Clippers,1979-80,35-47,N/A,False
177,Cavaliers,1979-80,37-45,N/A,False
