,Team,Season,Record,Season Result,PJ Positive,Playoffs Results
0,Braves,1970-71,22-60,N/A,False,Not Qualified
1,Trail Blazers,1970-71,29-53,N/A,False,Not Qualified
2,Bucks,1970-71,66-16,LEAGUE CHAMPION,True,Champ
3,Hawks,1970-71,36-46,N/A,False,CSF Exit
4,Pistons,1970-71,45-37,N/A,False,Not Qualified
5,Lakers,1970-71,48-34,N/A,False,CF Exit
6,Knicks,1970-71,52-30,N/A,False,CF Exit
7,Bullets,1970-71,42-40,FINALS APPEARANCE,False,Runner Up
8,Warriors,1970-71,41-41,N/A,False,CSF Exit
9,76ers,1970-71,47-35,N/A,False,CSF Exit
10,Bulls,1970-71,51-31,N/A,False,CSF Exit
11,Royals,1970-71,33-49,N/A,False,Not Qualified
12,SuperSonics,1970-71,38-44,N/A,False,Not Qualified
13,Celtics,1970-71,44-38,N/A,False,Not Qualified
14,Rockets,1970-71,40-42,N/A,False,Not Qualified
15,Cavaliers,1970-71,15-67,N/A,False,Not Qualified
16,Suns,1970-71,48-34,N/A,False,Not Qualified
17,Royals,1971-72,30-52,N/A,False,Not Qualified
18,Cavaliers,1971-72,23-59,N/A,False,Not Qualified
19,Trail Blazers,1971-72,18-64,N/A,False,Not Qualified
20,Braves,1971-72,22-60,N/A,False,Not Qualified
21,Knicks,1971-72,48-34,FINALS APPEARANCE,False,Runner Up
22,Bucks,1971-72,63-19,N/A,True,CF Exit
23,Bulls,1971-72,57-25,N/A,True,CSF Exit
24,SuperSonics,1971-72,47-35,N/A,False,Not Qualified
25,Celtics,1971-72,56-26,N/A,True,CF Exit
26,Suns,1971-72,49-33,N/A,False,Not Qualified
27,Hawks,1971-72,36-46,N/A,False,CSF Exit
28,Pistons,1971-72,26-56,N/A,False,Not Qualified
29,Bullets,1971-72,38-44,N/A,False,CSF Exit
30,Rockets,1971-72,34-48,N/A,False,Not Qualified
31,76ers,1971-72,30-52,N/A,False,Not Qualified
32,Warriors,1971-72,51-31,N/A,False,CSF Exit
33,Lakers,1971-72,69-13,LEAGUE CHAMPION,True,Champ
34,Braves,1972-73,21-61,N/A,False,Not Qualified
35,Knicks,1972-73,57-25,LEAGUE CHAMPION,True,Champ
36,Trail Blazers,1972-73,21-61,N/A,False,Not Qualified
37,Lakers,1972-73,60-22,FINALS APPEARANCE,True,Runner Up
38,Bullets,1972-73,52-30,N/A,True,CSF Exit
39,Suns,1972-73,38-44,N/A,False,Not Qualified
40,Hawks,1972-73,46-36,N/A,False,CSF Exit
41,Pistons,1972-73,40-42,N/A,False,Not Qualified
42,Celtics,1972-73,68-14,N/A,True,CF Exit
43,Bulls,1972-73,51-31,N/A,False,CSF Exit
44,Kings,1972-73,36-46,N/A,False,Not Qualified
45,Rockets,1972-73,33-49,N/A,False,Not Qualified
46,Bucks,1972-73,60-22,N/A,True,CSF Exit
47,76ers,1972-73,9-73,N/A,False,Not Qualified
48,Warriors,1972-73,47-35,N/A,False,CF Exit
49,Cavaliers,1972-73,32-50,N/A,False,Not Qualified
50,SuperSonics,1972-73,26-56,N/A,False,Not Qualified
51,Hawks,1973-74,35-47,N/A,False,Not Qualified
52,Warriors,1973-74,44-38,N/A,False,Not Qualified
53,Trail Blazers,1973-74,27-55,N/A,False,Not Qualified
54,Bulls,1973-74,54-28,N/A,True,CF Exit
55,Knicks,1973-74,49-33,N/A,False,CF Exit
56,Bucks,1973-74,59-23,FINALS APPEARANCE,True,Runner Up
57,Cavaliers,1973-74,29-53,N/A,False,Not Qualified
58,Bullets,1973-74,47-35,N/A,False,CSF Exit
59,Lakers,1973-74,47-35,N/A,False,CSF Exit
