Level,Experience capacity,Total amount of experience,,,,,,
,,,,,,,,
1.00,77.00,#N/A,,,,,,
2.00,161.00,77.00,,,,,,
3.00,261.00,238.00,,,,,,
4.00,380.00,499.00,,,,,,
5.00,517.00,879.00,,,,,,
6.00,674.00,1 396,,,,,,
7.00,851.00,2 070,,,,,,
8.00,1 051,2 921,,,,,,
9.00,1 273,3 972,,,,,,
10.00,1 520,5 245,,,,,,
11.00,1 789,6 765,,,,,,
12.00,2 086,8 554,,,,,,
13.00,2 408,10 640,,,,,,
14.00,2 759,13 048,,,,,,
15.00,3 137,15 807,,,,,,
16.00,3 545,18 944,,,,,,
17.00,3 984,22 489,,,,,,
18.00,4 455,26 473,,,,,,
19.00,4 958,30 928,,,,,,
20.00,5 496,35 886,,,,,,
21.00,6 067,41 382,,,,,,
22.00,6 678,47 449,,,,,,
23.00,7 325,54 127,,,,,,
24.00,8 014,61 452,,,,,,
25.00,8 744,69 466,,,,,,
26.00,9 519,78 210,,,,,,
27.00,10 341,87 729,,,,,,
28.00,11 214,98 070,,,,,,
29.00,12 140,109 284,,,,,,
30.00,13 126,121 424,,,,,,
31.00,14 173,134 550,,,,,,
32.00,15 291,148 723,,,,,,
33.00,16 486,164 014,,,,,,
34.00,17 766,180 500,,,,,,
35.00,19 142,198 266,,,,,,
36.00,20 623,217 408,,,,,,
37.00,22 225,238 031,,,,,,
38.00,23 964,260 256,,,,,,
39.00,25 857,284 220,,,,,,
40.00,27 926,310 077,,,,,,
41.00,30 196,338 003,,,,,,
42.00,32 697,368 199,,,,,,
43.00,35 460,400 896,,,,,,
44.00,38 525,436 356,,,,,,
45.00,41 935,474 881,,,,,,
46.00,45 740,516 816,,,,,,
47.00,49 997,562 556,,,,,,
48.00,54 771,612 553,,,,,,
49.00,60 135,667 324,,,,,,
50.00,66 174,727 459,,,,,,
51.00,72 978,793 633,,,,,,
52.00,80 655,866 611,,,,,,
53.00,89 324,947 266,,,,,,
54.00,99 117,1 036 590,,,,,,
55.00,110 184,1 135 707,,,,,,
56.00,122 690,1 245 891,,,,,,
57.00,136 820,1 368 581,,,,,,
58.00,152 782,1 505 401,,,,,,
59.00,170 804,1 658 183,,,,,,
60.00,191 141,1 828 987,,,,,,
61.00,214 069,2 020 128,,,,,,
62.00,239 905,2 234 197,,,,,,
63.00,268 986,2 474 102,,,,,,
64.00,301 692,2 743 088,,,,,,
65.00,338 435,3 044 780,,,,,,
66.00,379 672,3 383 215,,,,,,
67.00,425 900,3 762 887,,,,,,
68.00,477 667,4 188 787,,,,,,
69.00,535 569,4 666 454,,,,,,
70.00,600 260,5 202 023,,,,,,
71.00,672 448,5 802 283,,,,,,
72.00,752 912,6 474 731,,,,,,
73.00,842 493,7 227 643,,,,,,
74.00,942 110,8 070 136,,,,,,
75.00,1 052 755,9 012 246,,,,,,
76.00,1 175 509,10 065 001,,,,,,
77.00,1 311 538,11 240 510,,,,,,
78.00,1 462 109,12 552 048,,,,,,
79.00,1 628 587,14 014 157,,,,,,
80.00,1 812 451,15 642 744,,,,,,
81.00,2 015 289,17 455 195,,,,,,
82.00,2 238 822,19 470 484,,,,,,
83.00,2 484 895,21 709 306,,,,,,
84.00,2 755 498,24 194 201,,,,,,
85.00,3 052 768,26 949 699,,,,,,
86.00,3 379 000,30 002 467,,,,,,
87.00,3 736 658,33 381 467,,,,,,
88.00,4 128 384,37 118 125,,,,,,
89.00,4 557 007,41 246 509,,,,,,
90.00,5 025 556,45 803 516,,,,,,
91.00,5 537 270,50 829 072,,,,,,
92.00,6 095 617,56 366 342,,,,,,
93.00,6 704 292,62 461 959,,,,,,
94.00,7 367 248,69 166 251,,,,,,
95.00,8 088 694,76 533 499,,,,,,
96.00,8 873 121,84 622 193,,,,,,
97.00,9 725 312,93 495 314,,,,,,
98.00,10 650 357,103 220 626,,,,,,
99.00,11 653 669,113 870 983,,,,,,
100.00,#N/A,125 524 652,,,,,,
