,Team,Season,Record,Loss Streaks in season,Finals Stats,Phil Jackson Achieved
0,Braves,1970-71,22-60,13,Not Qualified,False
1,Trail Blazers,1970-71,29-53,11,Not Qualified,False
2,Bucks,1970-71,66-16,3,Champ,True
3,Hawks,1970-71,36-46,10,CSF Exit,False
4,Pistons,1970-71,45-37,7,Not Qualified,False
5,Lakers,1970-71,48-34,10,CF Exit,False
6,Knicks,1970-71,52-30,6,CF Exit,False
7,Bullets,1970-71,42-40,11,Runner Up,False
8,Warriors,1970-71,41-41,9,CSF Exit,False
9,76ers,1970-71,47-35,7,CSF Exit,False
10,Bulls,1970-71,51-31,9,CSF Exit,False
11,Royals,1970-71,33-49,14,Not Qualified,False
12,SuperSonics,1970-71,38-44,11,Not Qualified,False
13,Celtics,1970-71,44-38,11,Not Qualified,False
14,Rockets,1970-71,40-42,8,Not Qualified,False
15,Cavaliers,1970-71,15-67,10,Not Qualified,False
16,Suns,1970-71,48-34,9,Not Qualified,False
17,Royals,1971-72,30-52,9,Not Qualified,False
18,Cavaliers,1971-72,23-59,13,Not Qualified,False
19,Trail Blazers,1971-72,18-64,12,Not Qualified,False
20,Braves,1971-72,22-60,13,Not Qualified,False
21,Knicks,1971-72,48-34,7,Runner Up,False
22,Bucks,1971-72,63-19,5,CF Exit,True
23,Bulls,1971-72,57-25,6,CSF Exit,True
24,SuperSonics,1971-72,47-35,5,Not Qualified,False
25,Celtics,1971-72,56-26,9,CF Exit,True
26,Suns,1971-72,49-33,10,Not Qualified,False
27,Hawks,1971-72,36-46,10,CSF Exit,False
28,Pistons,1971-72,26-56,15,Not Qualified,False
29,Bullets,1971-72,38-44,11,CSF Exit,False
30,Rockets,1971-72,34-48,12,Not Qualified,False
31,76ers,1971-72,30-52,11,Not Qualified,False
32,Warriors,1971-72,51-31,7,CSF Exit,False
33,Lakers,1971-72,69-13,3,Champ,True
34,Braves,1972-73,21-61,10,Not Qualified,False
35,Knicks,1972-73,57-25,5,Champ,True
36,Trail Blazers,1972-73,21-61,13,Not Qualified,False
37,Lakers,1972-73,60-22,4,Runner Up,True
38,Bullets,1972-73,52-30,7,CSF Exit,True
39,Suns,1972-73,38-44,13,Not Qualified,False
40,Hawks,1972-73,46-36,12,CSF Exit,False
41,Pistons,1972-73,40-42,16,Not Qualified,False
42,Celtics,1972-73,68-14,1,CF Exit,True
43,Bulls,1972-73,51-31,11,CSF Exit,False
44,Kings,1972-73,36-46,10,Not Qualified,False
45,Rockets,1972-73,33-49,10,Not Qualified,False
46,Bucks,1972-73,60-22,5,CSF Exit,True
47,76ers,1972-73,9-73,6,Not Qualified,False
48,Warriors,1972-73,47-35,10,CF Exit,False
49,Cavaliers,1972-73,32-50,11,Not Qualified,False
50,SuperSonics,1972-73,26-56,12,Not Qualified,False
51,Hawks,1973-74,35-47,12,Not Qualified,False
52,Warriors,1973-74,44-38,8,Not Qualified,False
53,Trail Blazers,1973-74,27-55,12,Not Qualified,False
54,Bulls,1973-74,54-28,6,CF Exit,True
55,Knicks,1973-74,49-33,10,CF Exit,False
56,Bucks,1973-74,59-23,5,Runner Up,True
57,Cavaliers,1973-74,29-53,12,Not Qualified,False
58,Bullets,1973-74,47-35,8,CSF Exit,False
59,Lakers,1973-74,47-35,10,CSF Exit,False
60,Pistons,1973-74,52-30,6,CSF Exit,True
61,Celtics,1973-74,56-26,7,Champ,True
62,76ers,1973-74,25-57,13,Not Qualified,False
63,Kings,1973-74,33-49,9,Not Qualified,False
64,Suns,1973-74,30-52,13,Not Qualified,False
65,Braves,1973-74,42-40,11,CSF Exit,False
66,Rockets,1973-74,32-50,10,Not Qualified,False
67,SuperSonics,1973-74,36-46,11,Not Qualified,False
68,Lakers,1974-75,30-52,14,Not Qualified,False
69,Bulls,1974-75,47-35,9,CF Exit,False
70,Warriors,1974-75,48-34,6,Champ,False
71,Celtics,1974-75,60-22,2,CF Exit,True
72,Jazz,1974-75,23-59,9,Not Qualified,False
73,Bucks,1974-75,38-44,7,Not Qualified,False
74,Braves,1974-75,49-33,9,CSF Exit,False
75,76ers,1974-75,34-48,11,Not Qualified,False
76,Kings,1974-75,44-38,10,CSF Exit,False
77,Suns,1974-75,32-50,12,Not Qualified,False
78,Cavaliers,1974-75,40-42,7,Not Qualified,False
79,Knicks,1974-75,40-42,12,FR Exit,False
80,Bullets,1974-75,60-22,4,Runner Up,True
81,SuperSonics,1974-75,43-39,11,CSF Exit,False
82,Rockets,1974-75,41-41,9,CSF Exit,False
83,Trail Blazers,1974-75,38-44,10,Not Qualified,False
